model,g_avail,J_ATP,J_ATP_glyc,J_ATP_resp,frac_glyc,phi_G,phi_R,phenotype,eps_ratio,organism
Model A (Shen LP),0.019500869565217394,0.060055394124350577,0.037247267880941806,0.02280812624340877,0.6202151933899175,0.08097232148030827,0.1790276785196921,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.02000086622073579,0.06079417194587612,0.03826902914943787,0.022525142796438254,0.6294851615629874,0.08319354162921275,0.17680645837078693,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.020500862876254185,0.06153294976740175,0.03929079041793392,0.022242159349467827,0.638532535275092,0.08541476177811722,0.1745852382218825,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.02100085953177258,0.062271727588927295,0.040312551686429984,0.02195917590249731,0.647365236958643,0.0876359819270217,0.17236401807297733,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.021500856187290973,0.06301050541045292,0.04133431295492603,0.021676192455526884,0.655990817494205,0.08985720207592615,0.17014279792407289,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.02200085284280937,0.06374928323197862,0.04235607422342208,0.021393209008556548,0.6644164777397051,0.0920784222248306,0.16792157777516914,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.022500849498327764,0.06448806105350426,0.043377835491918135,0.02111022556158612,0.6726490885798,0.09429964237373507,0.1657003576262647,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.023000846153846156,0.0652268388750298,0.04439959676041419,0.020827242114615604,0.6806952096127302,0.09652086252263954,0.16347913747735954,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.023500842809364552,0.06596561669655551,0.04542135802891024,0.020544258667645268,0.6885611065814834,0.098742082671544,0.1612579173284558,mixed,0.2769565217391305,ecoli
Model A (Shen LP),0.024000839464882948,0.06670439451808113,0.04644311929740629,0.02026127522067484,0.6962527676466241,0.10096330282044845,0.15903669717955135,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.024500836120401343,0.06744317233960667,0.047464880565902354,0.019978291773704325,0.7037759185895847,0.10318452296935293,0.1568154770306462,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.02500083277591974,0.06818195016113231,0.04848664183439841,0.0196953083267339,0.7111360370275626,0.1054057431182574,0.15459425688174175,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.02550082943143813,0.06892072798265801,0.04950840310289445,0.019412324879763562,0.718338365714185,0.10762696326716184,0.152373036732838,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.026000826086956527,0.06965950580418365,0.050530164371390504,0.019129341432793136,0.7253879249938023,0.10984818341606631,0.15015181658393356,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.026500822742474922,0.07039828362570918,0.051551925639886566,0.01884635798582262,0.7322895244715881,0.11206940356497079,0.1479305964350284,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.027000819397993314,0.0711370614472348,0.052573686908382614,0.018563374538852193,0.7390477739564575,0.11429062371387524,0.14570937628612396,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.02750081605351171,0.07187583926876051,0.05359544817687866,0.018280391091881856,0.7456670937291291,0.1165118438627797,0.1434881561372202,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.028000812709030105,0.07261461709028615,0.054617209445374716,0.01799740764491143,0.7521517241833808,0.11873306401168417,0.14126693598831577,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.0285008093645485,0.0733533949118117,0.05563897071387078,0.017714424197940913,0.7585057348846923,0.12095428416058865,0.13904571583941064,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.029000806020066897,0.0740921727333374,0.056660731982366826,0.017431440750970577,0.7647330330869433,0.12317550430949309,0.1368244956905069,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.02950080267558529,0.07483095055486302,0.057682493250862873,0.01714845730400015,0.7708373717446286,0.12539672445839756,0.13460327554160245,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.030000799331103684,0.07556972837638856,0.058704254519358935,0.016865473857029634,0.7768223570550881,0.12761794460730203,0.1323820553926973,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03050079598662208,0.0763085061979142,0.05972601578785499,0.016582490410059207,0.7826914555626242,0.1298391647562065,0.13016083524379285,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.031000792642140472,0.07704728401943982,0.06074777705635104,0.01629950696308878,0.788448000853914,0.13206038490511093,0.12793961509488838,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.03150078929765887,0.07778606184096545,0.0617695383248471,0.016016523516118354,0.7940951998718699,0.13428160505401543,0.12571839494598394,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.03200078595317726,0.07852483966249107,0.06279129959334315,0.015733540069147928,0.7996361388730939,0.13650282520291987,0.1234971747970795,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.032500782608695655,0.07926361748401678,0.06381306086183919,0.015450556622177591,0.8050737890521696,0.1387240453518243,0.12127595464817575,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.033000779264214054,0.08000239530554233,0.06483482213033526,0.015167573175207075,0.8104110118543374,0.1409452655007288,0.1190547344992706,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.033500775919732446,0.08074117312706804,0.0658565833988313,0.014884589728236738,0.8156505639964902,0.14316648564963325,0.11683351435036687,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.034000772575250846,0.08147995094859359,0.06687834466732737,0.014601606281266222,0.8207951022150406,0.14538770579853774,0.11461229420146171,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03450076923076924,0.08221872877011913,0.06790010593582342,0.014318622834295705,0.8258471877577905,0.1476089259474422,0.11239107405255656,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03500076588628763,0.08295750659164483,0.06892186720431946,0.014035639387325369,0.8308092906358038,0.14983014609634665,0.11016985390365282,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03550076254180603,0.08369628441317055,0.06994362847281552,0.013752655940355032,0.835683793650093,0.15205136624525112,0.10794863375474908,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03600075919732442,0.08443506223469609,0.07096538974131157,0.013469672493384516,0.8404729962069057,0.1542725863941556,0.10572741360584392,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.03650075585284281,0.08517384005622163,0.07198715100980763,0.013186689046413999,0.8451791179344537,0.15649380654306005,0.10350619345693877,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03700075250836121,0.08591261787774734,0.07300891227830368,0.012903705599443663,0.8498043021130437,0.15871502669196452,0.10128497330803503,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.037500749163879604,0.08665139569927305,0.07403067354679972,0.012620722152473327,0.8543506189297398,0.16093624684086896,0.0990637531591313,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.038000745819397996,0.08739017352079859,0.07505243481529578,0.01233773870550281,0.8588200685679327,0.16315746698977343,0.09684253301022613,mixed,0.2769565217391305,ecoli
Model A (Shen LP),0.038500742474916395,0.08812895134232414,0.07607419608379185,0.012054755258532293,0.8632145841415116,0.16537868713867793,0.09462131286132099,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.03900073913043479,0.08886772916384984,0.07709595735228789,0.011771771811561957,0.8675360344826888,0.16759990728758237,0.09240009271241725,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.03950073578595319,0.0896065069853754,0.07811771862078395,0.01148878836459144,0.8717862267919169,0.16982112743648686,0.09017887256351209,mixed,0.27695652173913043,ecoli
Model A (Shen LP),0.04000073244147158,0.0903452848069011,0.07913947988928,0.011205804917621104,0.8759669091577744,0.17204234758539128,0.08795765241460836,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04050072909698997,0.09108406262842664,0.08016124115777605,0.010922821470650587,0.8800797729542461,0.17426356773429574,0.0857364322657032,mixed,0.2769565217391304,ecoli
Model A (Shen LP),0.04100072575250837,0.09182284044995219,0.08118300242627212,0.01063983802368007,0.8841264551222494,0.17648478788320024,0.08351521211679805,mixed,0.2769565217391304,ecoli
